id,name,instructions,prep_time,cook_time,complexity,cuisine_type,meal_type,calories,protein,carbs,fats,is_vegetarian,is_vegan,is_gluten_free,is_dairy_free,diabetes_friendly,hypertension_friendly,heart_healthy,low_fodmap,renal_friendly,glycemic_impact,dash_diet_score,anti_inflammatory_score,omega3_content,fiber_content,prep_difficulty,equipment_required,batch_cook_friendly,meal_prep_time,cost_rating,ingredient_accessibility,flavor_profile,texture_profile,optimal_serving_times,seasonality,satiety_index,palatability_score,keto_compatible,paleo_compatible,vegan_compatible,energy_density,meal_completeness,estimated_cost,serving_temperature
1,Recipe_1_Mediterranean_breakfast,Instructions for recipe 1,10,5,Basic,Mediterranean,breakfast,353.7,16.4,47.0,26.0,1,1,0,1,1,0,1,1,1,2.1,3.0,4.2,2.8,4.3,Intermediate,Specialized,0,8,$,Rare,Spicy,Chewy,Afternoon,Winter,4.6,7.9,1,1,0,Low,Side Dish,4.09,Room Temp
2,Recipe_2_Mexican_lunch,Instructions for recipe 2,10,9,Basic,Mexican,lunch,502.9,29.2,40.6,34.3,0,0,0,0,1,0,0,1,1,56.4,1.9,1.9,4.7,6.9,Advanced,Professional,1,52,$$$,Rare,Umami,Chewy,Evening,Spring,4.9,8.4,0,1,1,Medium,Complete Meal,9.76,Cold
3,Recipe_3_Asian_lunch,Instructions for recipe 3,8,6,Basic,Asian,lunch,565.5,38.0,75.1,18.0,0,0,0,0,1,0,0,1,0,10.1,0.3,3.2,0.9,3.8,Advanced,Basic,0,48,$$,Rare,Spicy,Crunchy,Anytime,Fall,3.9,7.5,1,0,1,Medium,Snack,16.94,Cold
4,Recipe_4_Mediterranean_snack,Instructions for recipe 4,18,5,Basic,Mediterranean,snack,202.9,12.4,27.8,25.2,0,0,0,0,1,0,0,1,1,84.8,9.0,8.3,3.7,13.5,Advanced,Professional,0,62,$$$,Common,Sweet,Crispy,Morning,All Season,3.6,1.0,1,0,0,High,Complete Meal,18.58,Room Temp
5,Recipe_5_Mediterranean_breakfast,Instructions for recipe 5,55,76,Advanced,Mediterranean,breakfast,904.4,57.2,53.2,51.8,1,0,0,0,0,1,0,1,1,59.9,7.0,4.5,3.1,4.7,Intermediate,Basic,1,55,$$,Specialty,Sweet,Soft,Evening,Fall,5.8,2.1,1,0,0,High,Snack,17.96,Room Temp
6,Recipe_6_Mediterranean_snack,Instructions for recipe 6,28,25,Intermediate,Mediterranean,snack,1207.8,47.9,138.3,68.3,0,0,0,0,0,1,1,0,1,97.4,9.4,0.8,1.1,5.0,Intermediate,Basic,0,114,$,Rare,Bitter,Creamy,Morning,All Season,4.1,4.4,0,1,0,Medium,Complete Meal,16.34,Cold
7,Recipe_7_Indian_snack,Instructions for recipe 7,59,76,Advanced,Indian,snack,1270.9,73.9,162.1,56.7,0,0,0,0,1,0,1,1,0,71.0,6.6,8.9,4.5,2.0,Advanced,Professional,0,118,$,Rare,Savory,Creamy,Evening,Winter,9.2,5.9,1,0,1,Medium,Snack,18.59,Cold
8,Recipe_8_Indian_dinner,Instructions for recipe 8,39,26,Intermediate,Indian,dinner,602.0,20.3,97.0,27.7,1,1,0,1,0,0,1,0,1,74.8,0.5,8.6,2.4,13.5,Beginner,Basic,1,97,$$$,Common,Sweet,Crunchy,Afternoon,Fall,2.1,0.1,0,0,0,Medium,Snack,12.94,Cold
9,Recipe_9_Mediterranean_lunch,Instructions for recipe 9,41,118,Advanced,Mediterranean,lunch,889.3,49.2,105.1,71.7,0,0,0,0,1,0,1,1,0,69.6,0.8,9.4,3.6,5.1,Advanced,Basic,1,89,$$,Common,Umami,Soft,Anytime,Fall,1.8,9.2,1,0,0,High,Complete Meal,6.32,Room Temp
10,Recipe_10_Mexican_lunch,Instructions for recipe 10,32,25,Intermediate,Mexican,lunch,737.8,28.0,99.1,27.1,1,0,0,0,0,0,0,1,1,29.7,8.0,3.0,2.9,13.0,Intermediate,Professional,1,5,$,Specialty,Spicy,Chewy,Afternoon,All Season,5.7,4.4,0,1,1,Low,Complete Meal,13.59,Room Temp
