recipe_id,name,meal_type,protein,carbs,fat,calories,sodium,fiber,ingredients,instructions,vegetarian,vegan,gluten_free,diabetes_friendly,heart_healthy,low_sodium,diet_type,cooking_difficulty,prep_time
1,Greek Yogurt with Berries and Chia Seeds,breakfast,18,25,6,240,70,8,"Greek yogurt, mixed berries, chia seeds, honey","Mix 1 cup of Greek yogurt with 1/2 cup berries, 1 tbsp chia seeds, and a drizzle of honey",True,False,True,True,True,True,Mediterranean,Easy,5
2,Avocado Toast with Poached Egg,breakfast,14,28,15,320,380,7,"Whole grain bread, avocado, egg, tomato, salt, pepper","Toast bread, spread avocado, add sliced tomato, top with poached egg",True,False,False,True,True,False,American,Medium,10
3,Spinach and Mushroom Omelette,breakfast,20,5,16,280,320,2,"Eggs, spinach, mushrooms, feta cheese, olive oil","Sauté vegetables, add beaten eggs, fold with feta cheese",True,False,True,True,True,True,Mediterranean,Medium,15
4,Overnight Oats with Almond Butter,breakfast,12,45,10,310,50,8,"Rolled oats, almond milk, almond butter, banana, cinnamon","Combine ingredients, refrigerate overnight, add banana before serving",True,True,True,True,True,True,American,Easy,8
5,Breakfast Smoothie Bowl,breakfast,15,35,8,270,60,6,"Banana, spinach, protein powder, almond milk, berries, nuts","Blend ingredients except toppings, pour in bowl, add toppings",True,True,True,True,True,True,American,Easy,10
6,Whole Grain Pancakes with Berries,breakfast,10,40,8,280,300,5,"Whole grain flour, egg, milk, baking powder, berries, maple syrup","Mix batter, cook pancakes, top with fresh berries and small amount of syrup",True,False,False,False,True,True,American,Medium,20
7,Tofu Scramble with Vegetables,breakfast,16,15,12,240,250,5,"Firm tofu, bell peppers, spinach, turmeric, nutritional yeast",Crumble and sauté tofu with vegetables and spices,True,True,True,True,True,True,Asian,Medium,15
8,Low-Carb Breakfast Bowl,breakfast,22,8,18,290,450,3,"Ground turkey, bell peppers, eggs, avocado, salsa","Cook turkey with peppers, add eggs, top with avocado and salsa",False,False,True,True,True,False,American,Medium,20
9,Quinoa Breakfast Bowl,breakfast,12,38,9,280,40,6,"Quinoa, milk, cinnamon, apple, walnuts, maple syrup","Cook quinoa with milk and cinnamon, top with apples and walnuts",True,False,True,True,True,True,American,Medium,25
10,Cottage Cheese with Fruit,breakfast,25,20,5,230,400,3,"Cottage cheese, pineapple, berries, walnuts","Mix cottage cheese with fruits, top with nuts",True,False,True,True,True,False,American,Easy,5
11,Buckwheat Porridge,breakfast,8,35,7,230,15,6,"Buckwheat groats, milk, banana, cinnamon, flaxseeds","Cook buckwheat, add milk and flavorings",True,False,True,True,True,True,European,Medium,20
12,Smoked Salmon on Rye with Cream Cheese,breakfast,18,20,14,280,570,4,"Rye bread, smoked salmon, light cream cheese, capers, dill","Spread bread with cream cheese, top with salmon, capers, and dill",False,False,False,True,True,False,European,Easy,7
13,High-Fiber Breakfast Muffins,breakfast,7,25,10,220,200,9,"Oat flour, bran, banana, egg, yogurt, walnuts, cinnamon","Mix ingredients, bake in muffin tin",True,False,True,True,True,True,American,Medium,30
14,Savory Breakfast Quinoa,breakfast,14,30,12,280,280,5,"Quinoa, vegetable broth, egg, avocado, cherry tomatoes","Cook quinoa in broth, top with fried egg, avocado, and tomatoes",True,False,True,True,True,True,Mediterranean,Medium,20
15,Protein-Packed Chia Pudding,breakfast,15,20,14,270,45,10,"Chia seeds, protein powder, almond milk, berries, honey","Mix ingredients except berries, refrigerate overnight, top with berries",True,True,True,True,True,True,American,Easy,8
16,Mediterranean Bowl with Chickpeas,lunch,18,45,12,360,380,12,"Chickpeas, quinoa, cucumber, tomatoes, feta, olives, olive oil","Combine all ingredients, drizzle with olive oil and lemon juice",True,False,True,True,True,False,Mediterranean,Easy,15
17,Grilled Chicken Salad with Avocado,lunch,30,12,15,320,350,7,"Chicken breast, mixed greens, avocado, cherry tomatoes, olive oil","Grill chicken, slice and add to salad with other ingredients",False,False,True,True,True,True,American,Medium,20
18,Lentil Soup with Vegetables,lunch,16,35,6,260,310,12,"Lentils, carrots, onions, celery, tomatoes, vegetable broth, spices","Sauté vegetables, add lentils and broth, simmer until tender",True,True,True,True,True,True,Mediterranean,Easy,40
19,Tuna Salad Stuffed Avocado,lunch,25,10,20,320,400,7,"Canned tuna, greek yogurt, celery, red onion, lemon juice, avocado","Mix tuna with yogurt and vegetables, stuff into avocado halves",False,False,True,True,True,False,American,Easy,10
20,Vegetable and Tofu Stir-fry,lunch,15,25,12,280,450,8,"Tofu, broccoli, bell peppers, snap peas, soy sauce, brown rice","Stir-fry tofu and vegetables, serve over rice",True,True,True,True,True,False,Asian,Medium,25
21,Turkey and Vegetable Wrap,lunch,25,30,10,320,520,6,"Turkey breast, whole grain wrap, lettuce, tomato, bell pepper, hummus","Spread hummus on wrap, add turkey and vegetables, roll up",False,False,False,True,True,False,American,Easy,10
22,Salmon Poke Bowl,lunch,28,40,14,400,580,5,"Salmon, brown rice, avocado, cucumber, edamame, soy sauce","Arrange ingredients in bowl, drizzle with sauce",False,False,True,True,True,False,Asian,Medium,20
23,Quinoa and Black Bean Bowl,lunch,15,45,8,310,270,12,"Quinoa, black beans, corn, avocado, lime, cilantro","Combine ingredients, dress with lime juice",True,True,True,True,True,True,Mexican,Easy,15
24,Egg and Vegetable Frittata,lunch,20,10,15,260,300,3,"Eggs, bell peppers, spinach, onions, feta cheese","Sauté vegetables, add beaten eggs, cook until set",True,False,True,True,True,True,Mediterranean,Medium,25
25,Chicken and Vegetable Soup,lunch,22,20,8,240,480,5,"Chicken breast, carrots, celery, onion, chicken broth, herbs",Simmer all ingredients until vegetables and chicken are tender,False,False,True,True,True,False,American,Easy,45
26,Spinach and Chickpea Curry,lunch,14,35,10,290,340,9,"Chickpeas, spinach, tomatoes, onion, garlic, curry spices, brown rice","Sauté onions and spices, add ingredients, simmer, serve over rice",True,True,True,True,True,True,Indian,Medium,30
27,Shrimp and Vegetable Skewers,lunch,25,15,8,240,520,4,"Shrimp, bell peppers, zucchini, onion, olive oil, herbs","Marinate shrimp, thread onto skewers with vegetables, grill",False,False,True,True,True,False,Mediterranean,Medium,25
28,Hearty Bean and Vegetable Soup,lunch,15,40,5,270,380,14,"Mixed beans, carrots, celery, kale, tomatoes, vegetable broth",Simmer all ingredients until vegetables are tender,True,True,True,True,True,False,American,Easy,40
29,Mediterranean Tuna Salad,lunch,28,15,12,280,460,5,"Tuna, mixed greens, cherry tomatoes, olives, red onion, olive oil","Combine all ingredients, dress with olive oil and lemon juice",False,False,True,True,True,False,Mediterranean,Easy,15
30,Vegetable and Lentil Patties,lunch,12,30,8,240,290,10,"Lentils, carrots, zucchini, oats, egg, spices","Combine ingredients, form patties, bake until golden",True,False,True,True,True,True,Mediterranean,Medium,35
31,Baked Salmon with Roasted Vegetables,dinner,30,20,15,340,320,6,"Salmon fillet, broccoli, carrots, olive oil, lemon, herbs","Season salmon, arrange vegetables on baking sheet, bake",False,False,True,True,True,True,American,Medium,30
32,Turkey Meatballs with Zucchini Noodles,dinner,28,15,12,280,420,5,"Ground turkey, egg, almond flour, zucchini, tomato sauce, herbs","Form meatballs, bake, serve with spiralized zucchini and sauce",False,False,True,True,True,False,Italian,Medium,40
33,Vegetable and Tofu Curry,dinner,15,30,14,310,380,8,"Tofu, broccoli, carrots, bell peppers, coconut milk, curry paste, brown rice","Sauté vegetables and tofu, add coconut milk and curry paste, serve over rice",True,True,True,True,True,False,Asian,Medium,35
34,Grilled Chicken with Quinoa and Vegetables,dinner,30,35,10,350,310,7,"Chicken breast, quinoa, bell peppers, zucchini, olive oil, herbs","Grill chicken, cook quinoa, sauté vegetables, combine",False,False,True,True,True,True,American,Medium,30
35,Lentil and Vegetable Stew,dinner,18,40,5,280,340,12,"Lentils, onions, carrots, celery, tomatoes, vegetable broth, herbs","Sauté vegetables, add lentils and broth, simmer until tender",True,True,True,True,True,True,Mediterranean,Easy,45
36,Baked Cod with Sweet Potato and Asparagus,dinner,25,30,8,290,320,6,"Cod fillet, sweet potato, asparagus, olive oil, lemon, herbs",Bake cod and vegetables seasoned with herbs,False,False,True,True,True,True,American,Medium,35
37,Mushroom and Bell Pepper Fajitas,dinner,10,35,12,290,380,8,"Portobello mushrooms, bell peppers, onions, whole grain tortillas, spices","Sauté vegetables with spices, serve in tortillas",True,True,False,True,True,False,Mexican,Easy,20
38,Shrimp and Vegetable Stir-fry,dinner,25,20,8,250,640,6,"Shrimp, broccoli, snap peas, carrots, garlic, ginger, soy sauce",Stir-fry shrimp and vegetables with aromatics and sauce,False,False,True,True,True,False,Asian,Medium,25
39,Eggplant and Chickpea Stew,dinner,12,35,10,280,310,10,"Eggplant, chickpeas, tomatoes, onions, garlic, herbs, spices","Sauté vegetables, add chickpeas and tomatoes, simmer",True,True,True,True,True,True,Mediterranean,Medium,35
40,Baked Chicken with Mediterranean Vegetables,dinner,28,25,12,320,370,6,"Chicken thighs, zucchini, tomatoes, olives, feta cheese, herbs","Arrange chicken and vegetables in baking dish, season, bake",False,False,True,True,True,False,Mediterranean,Medium,40
41,Bean and Vegetable Enchiladas,dinner,15,45,10,330,520,11,"Black beans, corn, bell peppers, onion, whole grain tortillas, enchilada sauce","Fill tortillas with bean mixture, roll, top with sauce, bake",True,True,False,True,True,False,Mexican,Medium,45
42,Sesame Salmon with Green Beans,dinner,30,15,18,340,390,4,"Salmon, green beans, sesame seeds, soy sauce, ginger, garlic","Pan-sear salmon with sesame seeds, serve with steamed green beans",False,False,True,True,True,False,Asian,Medium,25
